department,total_receipts,total_disposal,total_pending,pending_gt_1yr,pending_6to12mo,pending_2to6mo,pending_lt_2mo,resolution_rate,pending_gt_1yr_pct
Nagaland,626,374,252,152,20,31,49,59.74,60.32
Odisha,29417,1640,27777,21742,2515,2177,1343,5.58,78.27
Punjab,37833,21678,16155,7416,3124,3488,2127,57.3,45.91
Puducherry,2581,1998,583,117,111,181,174,77.41,20.07
Rajasthan,133956,22441,111515,97928,2087,3987,7513,16.75,87.82
Sikkim,725,19,706,572,46,52,36,2.62,81.02
Telangana,26874,20058,6816,5463,135,219,999,74.64,80.15
Tamil Nadu,54707,31368,23339,12079,3997,4116,3147,57.34,51.75
Tripura,2874,2344,530,258,75,90,107,81.56,48.68
Uttarakhand,41264,2418,38846,27303,4560,4466,2517,5.86,70.29
Uttar Pradesh,547042,437024,110018,64002,2209,6001,37806,79.89,58.17
West Bengal,44515,1035,43480,29074,5579,5625,3202,2.33,66.87
